Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	Q8TF08	COX7B2	CX7B2_HUMAN
TM.protein	P50402	EMD	EMD_HUMAN
TM.protein	Q5JX71	FAM209A	F209A_HUMAN
TM.protein	Q9P0K9	FRRS1L	FRS1L_HUMAN
TM.protein	P0DMQ5	INAFM2	INAM2_HUMAN
TM.protein	Q3MIX3	ADCK5	ADCK5_HUMAN
TM.protein	Q06481	APLP2	APLP2_HUMAN
TM.protein	Q8NBU5	ATAD1	ATAD1_HUMAN
TM.protein	Q9H4I9	SMDT1	EMRE_HUMAN
TM.protein	O95249	GOSR1	GOSR1_HUMAN
TM.protein	O14653	GOSR2	GOSR2_HUMAN
TM.protein	P15421	GYPE	GLPE_HUMAN
TM.protein	Q96LL3	FIMP	FIMP_HUMAN
TM.protein	Q01740	FMO1	FMO1_HUMAN
TM.protein	O60774	FMO6P	FMO6_HUMAN
TM.protein	P31512	FMO4	FMO4_HUMAN
TM.protein	Q9NYL4	FKBP11	FKB11_HUMAN
TM.protein	A6NM62	LRRC53	LRC53_HUMAN
TM.protein	Q7Z434	MAVS	MAVS_HUMAN
TM.protein	Q16655	MLANA	MAR1_HUMAN
TM.protein	Q5TGZ0	MICOS10	MIC10_HUMAN
TM.protein	Q8NEQ5	C1orf162	CA162_HUMAN
TM.protein	Q9GZY4	COA1	COA1_HUMAN
TM.protein	Q9Y2R0	COA3	COA3_HUMAN
TM.protein	Q9Y6N1	COX11	COX11_HUMAN
TM.protein	Q96KC8	DNAJC1	DNJC1_HUMAN
TM.protein	Q4VXF1	FAM74A3	F74A3_HUMAN
TM.protein	Q8TBE3	FNDC9	FNDC9_HUMAN
TM.protein	Q9Y6F6	IRAG1	IRAG1_HUMAN
TM.protein	Q12912	IRAG2	IRAG2_HUMAN
TM.protein	Q9NQG1	MANBAL	MANBL_HUMAN
TM.protein	Q8WXH2	JPH3	JPH3_HUMAN
TM.protein	Q5SRI9	MANEA	MANEA_HUMAN
TM.protein	Q86UE4	MTDH	LYRIC_HUMAN
TM.protein	P26572	MGAT1	MGAT1_HUMAN
TM.protein	Q3MIP1	ITPRIPL2	IPIL2_HUMAN
TM.protein	Q9GZY8	MFF	MFF_HUMAN
TM.protein	Q96PS6	GAFA1	GAFA1_HUMAN
TM.protein	Q9NPA0	EMC7	EMC7_HUMAN
TM.protein	Q6ZU69	FAM205A	S31F1_HUMAN
TM.protein	Q96ND0	FAM210A	F210A_HUMAN
